,town,latitude,longitude,country
311,Camperdown,-33.88965,151.17642,Australia
312,Campsie,-33.9125,151.10279,Australia
313,Canada Bay,-33.8659,151.11591,Australia
314,Canley Heights,-33.88262,150.92408,Australia
315,Canley Vale,-33.88657,150.94802,Australia
316,Canowindra,-33.56247,148.66434,Australia
317,Canterbury,-33.91192,151.11862,Australia
318,Canton Beach,-33.27443,151.54614,Australia
319,Cardiff,-32.94201,151.6544,Australia
320,Cardiff Heights,-32.93626,151.67227,Australia
321,Cardiff South,-32.9547,151.66446,Australia
322,Caringbah,-34.03534,151.12468,Australia
323,Caringbah South,-34.05662,151.12149,Australia
324,Carlingford,-33.78269,151.04888,Australia
325,Carlton,-33.97107,151.12136,Australia
326,Carnes Hill,-33.93846,150.84881,Australia
327,Carramar,-33.88382,150.96153,Australia
328,Carrathool,-33.62571,145.42523,Australia
329,Carrington,-32.91501,151.76436,Australia
330,Carss Park,-33.98667,151.11734,Australia
331,Cartwright,-33.92498,150.88951,Australia
332,Carwoola,-35.37836,149.3215,Australia
333,Casino,-28.85819,153.04748,Australia
334,Castle Cove,-33.78655,151.20925,Australia
335,Castle Hill,-33.73333,151.0,Australia
336,Castlecrag,-33.79987,151.2231,Australia
337,Castlereagh,-33.68981,150.67887,Australia
338,Casuarina,-28.30042,153.57064,Australia
339,Casula,-33.95222,150.89949,Australia
340,Catalina,-35.73,150.18494,Australia
341,Catherine Field,-34.00439,150.77253,Australia
342,Caves Beach,-33.10637,151.64402,Australia
343,Cecil Hills,-33.88917,150.85137,Australia
344,Centennial Park,-33.89794,151.23364,Australia
345,Central Darling,-31.77155,143.62569,Australia
346,Cessnock,-32.89391,151.21234,Australia
347,Chain Valley Bay,-33.17241,151.57143,Australia
348,Charlestown,-32.96828,151.69318,Australia
349,Charmhaven,-33.22671,151.50284,Australia
350,Chatswood,-33.8,151.18333,Australia
351,Chatswood West,-33.79402,151.16492,Australia
352,Cherrybrook,-33.72197,151.04607,Australia
353,Chester Hill,-33.87896,150.99945,Australia
354,Chifley,-33.96696,151.24221,Australia
355,Chinderah,-28.25456,153.53712,Australia
356,Chippendale,-33.88673,151.19745,Australia
357,Chipping Norton,-33.91801,150.95927,Australia
358,Chiswick,-33.84996,151.13846,Australia
359,Chittaway Bay,-33.32769,151.42971,Australia
360,City of Sydney,-33.86778,151.20844,Australia
